,county,year,area (HA),production (MT),yield (MT/HA),crop
161,Lamu,2015,284.0,311.0,1.1,sorghum
162,Machakos,2015,,,1.1,sorghum
163,Makueni,2015,,,1.3,sorghum
164,Mandera,2015,771.0,265.0,0.3,sorghum
165,Marsabit,2015,35.0,43.0,1.2,sorghum
166,Meru,2015,,,1.6,sorghum
167,Migori,2015,,,1.3,sorghum
168,Mombasa,2015,2.0,1.0,0.7,sorghum
169,Murang'a,2015,194.0,155.0,0.8,sorghum
170,Nairobi ,2015,16.0,17.0,1.1,sorghum
171,Nakuru,2015,725.0,732.0,1.0,sorghum
172,Nandi,2015,199.0,321.0,1.6,sorghum
173,Narok,2015,,,0.8,sorghum
174,Nyamira,2015,88.0,79.0,0.9,sorghum
175,Nyandarua,2015,28.0,28.0,1.0,sorghum
176,Nyeri,2015,0.0,0.0,0.0,sorghum
177,Samburu,2015,0.0,0.0,0.0,sorghum
178,Siaya,2015,,,1.7,sorghum
179,Taita/Taveta,2015,304.0,258.0,0.8,sorghum
180,Tana River,2015,148.0,138.0,0.9,sorghum
181,Tharaka-Nthi,2015,,,1.2,sorghum
182,Trans Nzoia,2015,188.0,325.0,1.7,sorghum
183,Turkana,2015,,,0.9,sorghum
184,Uasin Gishu,2015,92.0,92.0,1.0,sorghum
185,Vihiga,2015,406.0,407.0,1.0,sorghum
186,Wajir,2015,0.0,0.0,0.0,sorghum
187,West Pokot,2015,391.0,391.0,1.0,sorghum
188,Baringo,2016,,,2.8,sorghum
189,Bomet,2016,,,2.0,sorghum
190,Bungoma,2016,429.0,321.0,0.7,sorghum
191,Busia,2016,,,1.8,sorghum
192,Elgeyo/Marakwet,2016,670.0,,1.5,sorghum
193,Embu,2016,,,1.8,sorghum
194,Garissa,2016,44.0,20.0,0.5,sorghum
195,Homabay,2016,,,1.1,sorghum
196,Isiolo,2016,79.0,39.0,0.5,sorghum
197,Kajiado,2016,56.0,63.0,1.1,sorghum
198,Kakamega,2016,504.0,563.0,1.1,sorghum
199,Kericho,2016,588.0,877.0,1.5,sorghum
200,Kiambu,2016,75.0,49.0,0.7,sorghum
201,Kilifi,2016,56.0,30.0,0.5,sorghum
202,Kirinyaga,2016,80.0,65.0,0.8,sorghum
203,Kisii,2016,161.0,162.0,1.0,sorghum
204,Kisumu,2016,,,0.3,sorghum
205,Kitui,2016,,,0.2,sorghum
206,Kwale,2016,419.0,109.0,0.3,sorghum
207,Laikipia,2016,621.0,,1.7,sorghum
208,Lamu,2016,6.0,5.0,0.8,sorghum
209,Machakos,2016,,,1.0,sorghum
210,Makueni,2016,,,1.0,sorghum
211,Mandera,2016,,267.0,0.2,sorghum
212,Marsabit,2016,15.0,1.0,0.1,sorghum
213,Meru,2016,,,1.3,sorghum
214,Migori,2016,418.0,260.0,0.6,sorghum
215,Mombasa,2016,0.0,0.0,0.0,sorghum
216,Murang'a,2016,592.0,242.0,0.4,sorghum
217,Nairobi ,2016,16.0,3.0,0.2,sorghum
218,Nakuru,2016,905.0,922.0,1.0,sorghum
219,Nandi,2016,168.0,193.0,1.1,sorghum
220,Narok,2016,,,1.4,sorghum
221,Nyamira,2016,73.0,61.0,0.8,sorghum
222,Nyandarua,2016,12.0,22.0,1.8,sorghum
223,Nyeri,2016,0.0,0.0,0.0,sorghum
224,Samburu,2016,0.0,0.0,0.0,sorghum
225,Siaya,2016,,,0.8,sorghum
226,Taita/Taveta,2016,264.0,140.0,0.5,sorghum
227,Tana River,2016,115.0,52.0,0.5,sorghum
228,Tharaka-Nthi,2016,,,0.7,sorghum
229,Trans Nzoia,2016,292.0,275.0,0.9,sorghum
230,Turkana,2016,,,0.8,sorghum
231,Uasin Gishu,2016,65.0,114.0,1.8,sorghum
232,Vihiga,2016,232.0,235.0,1.0,sorghum
233,Wajir,2016,0.0,0.0,0.0,sorghum
234,West Pokot,2016,413.0,373.0,0.9,sorghum
235,Bungoma,2012,321.0,920.0,2.9,wheat
236,Elgeyo Marakwet,2012,944.0,,3.1,wheat
237,Kericho,2012,58.0,210.0,3.6,wheat
238,Laikipia,2012,,,3.2,wheat
239,Marsabit,2012,60.0,206.0,3.4,wheat
240,Meru,2012,,,2.7,wheat
241,Nakuru,2012,,,3.2,wheat
242,Nandi,2012,54.0,179.0,3.3,wheat
243,Narok,2012,,,3.5,wheat
244,Nyamira,2012,124.0,320.0,2.6,wheat
245,Nyandarua,2012,,,4.3,wheat
246,Nyeri,2012,,,2.7,wheat
247,Samburu,2012,800.0,,4.1,wheat
248,Trans Nzoia,2012,,,2.6,wheat
249,Uasin Gishu,2012,,,2.5,wheat
250,Bungoma,2013,350.0,983.0,2.8,wheat
251,Elgeyo Marakwet,2013,81.0,219.0,2.7,wheat
252,Kericho,2013,40.0,170.0,4.3,wheat
253,Laikipia,2013,,,4.0,wheat
254,Marsabit,2013,42.0,108.0,2.6,wheat
255,Meru,2013,,,4.4,wheat
256,Nakuru,2013,,,2.6,wheat
257,Nandi,2013,41.0,132.0,3.2,wheat
258,Narok,2013,,,2.8,wheat
259,Nyamira,2013,96.0,210.0,2.2,wheat
260,Nyandarua,2013,,,2.5,wheat
261,Nyeri,2013,,,3.1,wheat
262,Samburu,2013,450.0,,4.0,wheat
263,Trans Nzoia,2013,,,2.5,wheat
264,Uasin Gishu,2013,,,2.7,wheat
265,Bungoma,2014,305.0,899.0,2.9,wheat
266,Elgeyo Marakwet,2014,105.0,284.0,2.7,wheat
267,Kericho,2014,,,0.0,wheat
268,Laikipia,2014,,,3.2,wheat
269,Marsabit,2014,37.0,93.0,2.5,wheat
270,Meru,2014,,,3.4,wheat
271,Nakuru,2014,,,2.7,wheat
272,Nandi,2014,43.0,149.0,3.5,wheat
273,Narok,2014,,,2.8,wheat
274,Nyamira,2014,68.0,193.0,2.8,wheat
275,Nyandarua,2014,,,2.7,wheat
276,Nyeri,2014,,,2.3,wheat
277,Samburu,2014,600.0,,3.1,wheat
278,Trans Nzoia,2014,,,2.6,wheat
279,Uasin Gishu,2014,,,2.6,wheat
280,Bungoma,2015,30.0,96.0,3.2,wheat
281,Elgeyo Marakwet,2015,415.0,837.0,2.0,wheat
282,Kericho,2015,,,0.0,wheat
283,Laikipia,2015,,,4.0,wheat
284,Marsabit,2015,31.0,56.0,1.8,wheat
285,Meru,2015,,,4.9,wheat
286,Nakuru,2015,,,3.3,wheat
287,Nandi,2015,32.0,88.0,2.8,wheat
288,Narok,2015,,,3.7,wheat
289,Nyamira,2015,58.0,154.0,2.7,wheat
290,Nyandarua,2015,,,2.4,wheat
291,Nyeri,2015,,,2.5,wheat
292,Samburu,2015,300.0,878.0,2.9,wheat
293,Trans Nzoia,2015,380.0,954.0,2.5,wheat
294,Uasin Gishu,2015,,,2.3,wheat
295,Bungoma,2016,30.0,90.0,3.0,wheat
296,Elgeyo Marakwet,2016,435.0,849.0,2.0,wheat
297,Kericho,2016,,,0.0,wheat
298,Laikipia,2016,,,3.4,wheat
299,Marsabit,2016,28.0,76.0,2.7,wheat
300,Meru,2016,,,3.1,wheat
301,Nakuru,2016,,,3.5,wheat
302,Nandi,2016,30.0,94.0,3.1,wheat
303,Narok,2016,,,2.5,wheat
304,Nyamira,2016,89.0,297.0,3.3,wheat
305,Nyandarua,2016,,,2.5,wheat
306,Nyeri,2016,,,4.4,wheat
307,Samburu,2016,400.0,820.0,2.1,wheat
308,Trans Nzoia,2016,376.0,,2.7,wheat
309,Uasin Gishu,2016,,,2.7,wheat
310,Baringo,2012,,,1.81,maize
311,Bomet,2012,,,2.24,maize
312,Bungoma,2012,,,2.73,maize
313,Busia,2012,,,1.19,maize
314,Elgeyo/Marakwet,2012,,,2.92,maize
315,Embu,2012,,,1.03,maize
316,Garissa,2012,433.0,411.0,0.95,maize
317,Homabay,2012,,,1.45,maize
318,Isiolo,2012,987.0,979.0,0.99,maize
319,Kajiado,2012,,,0.07,maize
320,Kakamega,2012,,,2.26,maize
321,Kericho,2012,,,2.35,maize
322,Kiambu,2012,,,0.62,maize
323,Kilifi,2012,,,0.26,maize
324,Kirinyaga,2012,,,1.46,maize
325,Kisii,2012,,,1.64,maize
326,Kisumu,2012,,,2.92,maize
327,Kitui,2012,,,0.72,maize
328,Kwale,2012,,,0.33,maize
329,Laikipia,2012,,,3.31,maize
330,Lamu,2012,,,0.96,maize
331,Machakos,2012,,,0.61,maize
332,Makueni,2012,,,0.7,maize
333,Mandera,2012,215.0,,0.0,maize
334,Marsabit,2012,274.0,214.0,0.78,maize
335,Meru,2012,,,1.48,maize
336,Migori,2012,,,1.24,maize
